"dt , random_coeff",true value,Numerical Value,Error
0.05,0.2107,-0.33976888436420566,-0.33919044447117663,0.0005784398930290258
0.05,0.1841,-0.33230390350677774,-0.3300232789952461,0.0022806245115316592
0.05,0.2691,-0.3561581656451749,-0.3582372691956755,0.002079103550500616
