"dt , random_coeff",true value,Numerical Value,Error
0.01,0.2007,-0.3369625005832176,-0.3369649797043406,2.479121123000194e-06
0.01,0.1991,-0.3365134791782596,-0.3365162096106079,2.7304323483301474e-06
0.01,0.1711,-0.3286556045914935,-0.3286633754362079,7.77084471437206e-06
